method epochs serial loss mrr_filter accuracy F_norm upper average
TransE 2000 1 604.178681 0.531813 0.896486 8.230553731492414 2.9099793434143066 1.3671059874089753
TransE 2000 2 611.483396 0.533056 0.898176 8.23332782110759 2.9588241577148438 1.370344844649624
TransE 2000 3 578.105721 0.533309 0.896307 8.229444755697736 2.9126713275909424 1.3696527189523486
TransE 2000 4 616.873541 0.531391 0.895568 8.229300615483693 2.962536573410034 1.3701830932185202
TransE 2000 5 596.121518 0.534266 0.897165 8.230666383021548 2.908520221710205 1.3682991780116172
TransE 2000 6 585.380750 0.530833 0.896452 8.226121564659644 2.923682451248169 1.3617696845869642
TransE 2000 7 603.646234 0.531056 0.896443 8.232779514877748 3.0017454624176025 1.3629226354152912
TransE 2000 8 597.640567 0.531627 0.895126 8.228070935009464 2.9183003902435303 1.3669437618566154
TransE 2000 9 604.955754 0.531924 0.895746 8.225985350085097 3.080723762512207 1.3627843293613866
TransE 2000 10 619.846397 0.532029 0.895967 8.230470364968284 2.9745020866394043 1.3715888040343744
