method dim epochs loss_start loss mrr_filter accuracy ent_lp_norm rel_lp_norm ent_F_norm rel_F_norm max mean
TransR 50 500 312179.009888 1551.024430 0.404758 0.867748 99.0133285522461 31.425987243652344 4.595254472913407 3.4476351698508574 6.143714785575867 3.587183082511357
TransR 100 100 268696.124878 1511.302741 0.439335 0.864943 81.0128402709961 25.983373641967773 4.394607663973325 3.2574568581610066 4.9601147174835205 2.7788284627984097
TransR 125 90 255590.777588 1595.168476 0.439065 0.860423 73.7870101928711 24.738874435424805 4.301182702467474 3.208375870190689 4.627653002738953 2.533734318084427
TransR 150 55 242152.036743 1529.684679 0.441458 0.857738 71.43763732910156 24.60271644592285 4.268824863920307 3.2028568614729767 4.724337697029114 2.4431003206411384
TransR 175 35 230368.323853 1470.385700 0.446194 0.857525 69.95083618164062 24.803316116333008 4.247792655030615 3.2109773586002337 4.5118032693862915 2.3826187624823256
TransR 200 20 223638.474976 1508.617594 0.447978 0.857525 68.84846496582031 25.021860122680664 4.231907929585819 3.2197498477061623 4.351368546485901 2.3360936142005095
TransR 250 23 213115.724792 1539.571392 0.433404 0.857525 66.05274200439453 25.638090133666992 4.190453544177725 3.24407914151162 4.210877060890198 2.25813676898296
TransH 50 11000 310603.784058 669.176191 0.460175 0.891549 217.54511642456055 74.7854118347168 5.275376866868911 3.964699360889979 12.063042402267456 6.478644768066068
TransH 100 1500 266721.497192 678.807422 0.515290 0.892823 121.52917289733887 47.338247299194336 4.658096724610704 3.441836742318362 6.877750396728516 3.5251233462723266
TransH 150 850 242523.526978 666.452193 0.527992 0.889730 105.93950080871582 45.70183181762695 4.481601037655761 3.3371346181022274 5.629734396934509 2.9503882646680153
TransH 200 620 224752.391113 698.851706 0.522370 0.882465 100.39853858947754 46.83076095581055 4.395719724531686 3.3154653290322447 5.211838364601135 2.7263752929069813
TransH 250 480 212308.707275 681.070045 0.513222 0.876219 97.79867935180664 48.563934326171875 4.341930401035267 3.3185768468500014 4.931354999542236 2.593252303192247
TransH 300 420 203689.734619 658.183045 0.507701 0.870382 97.55524253845215 50.673274993896484 4.319089715215733 3.3406774002587323 4.719083070755005 2.5452569613155864
TransE 50 4000 313538.756226 1136.198859 0.441540 0.887257 157.34640502929688 44.850059509277344 5.058449776279588 3.8033249153551476 9.806032657623291 5.197023224805642
TransE 100 800 266765.770142 1156.210268 0.483595 0.885099 94.33101654052734 28.794145584106445 4.546810049032482 3.3601720881484227 6.333072066307068 3.1572363532170056
TransE 125 600 253515.117554 1111.738488 0.492297 0.882151 86.02849578857422 27.17217445373535 4.454678587749189 3.3021934516578986 5.671690583229065 2.8695413161015537
TransE 150 450 242835.065308 1153.102775 0.491772 0.878250 79.66975402832031 26.27220344543457 4.377890016006064 3.2685114770522516 5.267391085624695 2.6731047472108704
TransE 175 370 233174.812256 1134.315653 0.488395 0.875412 75.79077911376953 25.87067985534668 4.32797663767306 3.2531102755336025 5.0795464515686035 2.5470401268773952
TransE 200 310 226312.394287 1154.514155 0.481522 0.869566 72.98385620117188 25.78860092163086 4.29023826876243 3.2499325695512713 4.652124285697937 2.4594716264495826
TransE 250 260 214040.804932 1156.258779 0.476706 0.863652 70.42040252685547 26.391592025756836 4.254483029797696 3.273045475552664 4.574983716011047 2.393434312909061
TransE 300 230 204444.992493 1122.146594 0.469899 0.859463 69.52566528320312 27.14033317565918 4.241695969052357 3.301020930516308 4.510380506515503 2.356676524138051

TransE 50 2000 313538.756226 1598.532438 0.425279 0.880273 0 0 0 0 0 0
TransE 100 2000 266765.770142 593.595893 0.533236 0.896239 0 0 0 0 0 0
TransE 150 2000 242835.065308 356.718248 0.569993 0.897021 0 0 0 0 0 0
TransE 200 2000 226312.394287 249.494734 0.576624 0.893707 0 0 0 0 0 0
TransD 50 10000 208155.805908 1289.866422 0.441596 0.897242 106.70063781738281 29.66645050048828 4.670027135959783 3.3900167945370883 7.979557633399963 3.5693404393004453
TransD 100 350 174868.440552 1284.360086 0.331103 0.881360 60.1912841796875 20.831783294677734 4.097527560764671 3.036479863450822 5.205249547958374 2.3353771471508393
TransD 100 1000 174868.440552 780.835427 0.391912 0.892687 68.65982818603516 22.81150245666504 4.229164285638346 3.1272649024596046 5.687874436378479 2.5786164737433337
TransD 150 450 158777.595764 800.177526 0.344461 0.885201 63.40496063232422 22.627901077270508 4.149542101794378 3.119183705775689 5.2701064348220825 2.424771966461988
TransD 100 500 176585.006653 1051.176248 0.350571 0.884504 0 0 0 0 0 0
TransD 150 270 160336.883942 1045.488682 0.312988 0.878735 0 0 0 0 0 0
