method epochs neg_ent mrr_raw mrr_filter ent_F_norm rel_F_norm upper mean
TransE 500 2 0.224212 0.343681 61.91940411413274 22.011313034533956 1.5242460574946886 0
TransE 500 3 0.199227 0.286046 52.38973461995069 20.323087277445186 1.3861507557559152 0
TransE 500 1 0.245171 0.461010 85.88398510318711 26.77209674823195 2.243446869579034 1.018625796685431
TransE 1000 1 0.248538 0.495891 98.52426358017621 29.856898033722292 2.6252256039168373 1.1860092859233882
TransE 1500 1 0.247583 0.514157 106.4356380186352 31.87165194052159 2.8700087746737784 1.2911836172667561
TransE 2000 1 0.248002 0.533149 112.46833179640718 33.40361764100586 2.9800416262487572 1.3687647393550666
TransE 2500 1 0.247281 0.541512 117.05575202447461 34.69836592376783 3.047993722198585 1.4356914846840598
TransE 3000 1 0.246026 0.547737 121.01788827515048 35.80518852659539 3.2103141149855534 1.4880851337228316
TransE 3500 1 0.247552 0.556847 124.22488903992785 36.594396926150765 3.2554842282691516 1.5260495031879602
TransE 4000 1 0.246573 0.562600 127.37256138735161 37.50085396797962 3.3483574303291137 1.5780309506217594
TransE 4500 1 0.246436 0.567524 130.28316480166498 38.25231440761749 3.3776484583200648 1.6071936413393437
TransE 5000 1 0.245777 0.568116 132.74221560184455 39.12676377346664 3.5042484369039895 1.6493357749668336
TransH 500 1 0.246540 0.460669 85.33409720586471 26.311502996866764 2.2190072331291986 1.0152026814989799
TransH 1000 1 0.245602 0.489278 97.80180224256124 29.261704076790302 2.577640574166712 1.1805861681550063
TransH 1500 1 0.247178 0.513431 105.4685862024017 31.22612755185279 2.8258773746785946 1.285204413498244
TransH 2000 1 0.248104 0.528859 111.3757858715535 32.56611821887617 2.9271931708133785 1.3597794331377284
TransH 2500 1 0.246115 0.535583 115.85767929522565 33.761772127199016 3.1184242695304683 1.4274094174418415
TransH 3000 1 0.245559 0.546961 119.76049624131082 34.95060990542411 3.1937459649195965 1.481096271746565
TransH 3500 1 0.245007 0.550731 123.12576504157923 35.66532402746657 3.2174204054780735 1.523563597225297
TransH 4000 1 0.244135 0.555399 126.12323022781904 36.435114862156375 3.370510987280601 1.5625601714795876
TransH 4500 1 0.243630 0.560408 128.7322767088647 37.17230496530722 3.410718320931644 1.5978434239880097
TransH 5000 1 0.242660 0.562620 130.93691371100664 37.865782550351796 3.554905113275178 1.6321970745405934
